ID,SMILES,pIC50,Compound origin
CHEMBL3915331,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3)nn2C2COC2)C1,4.958607315,ChEMBL
CHEMBL3917504,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3)nn2CC2CC2)C1,5.193820026,ChEMBL
CHEMBL3896323,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3)nn2[C@@H]2CCOC2)C1,5.070581074,ChEMBL
CHEMBL3924330,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3)nn2[C@H]2CCOC2)C1,4.958607315,ChEMBL
CHEMBL3968533,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3F)nn2[C@@H]2CCOC2)C1,4.886056648,ChEMBL
CHEMBL3897393,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3F)nn2[C@H]2CCOC2)C1,4.886056648,ChEMBL
CHEMBL3911524,CC(=O)N1CCc2c(c(Nc3cccc(-c4cc[nH]n4)c3)nn2CC2CC2)C1,5.420216403,ChEMBL
CHEMBL3902514,CC(=O)N1CCc2c(c(Nc3cccc(-c4ccccc4)c3)nn2CC2CC2)C1,5.337242168,ChEMBL
CHEMBL3973515,CC(=O)N1CCc2c(c(Nc3cccc(-c4ccccn4)c3)nn2CC2CC2)C1,5.408935393,ChEMBL
CHEMBL3893541,CC(=O)N1CCc2c(c(Nc3cccc(-c4cccnc4)c3)nn2CC2CC2)C1,5.397940009,ChEMBL
CHEMBL3962542,CC(=O)N1CCc2c(c(Nc3cccc(-c4ccncc4)c3)nn2CC2CC2)C1,6.060480747,ChEMBL
CHEMBL3938408,CC(=O)N1CCc2c(c(Nc3cccc(-c4ccnn4C)c3)nn2CC2CC2)C1,5.431798276,ChEMBL
CHEMBL3892467,CC(=O)N1CCc2c(c(Nc3cccc(-c4cn[nH]c4)c3)nn2CC2CC2)C1,5.337242168,ChEMBL
CHEMBL3981511,CC(=O)N1CCc2c(c(Nc3cccc(-c4cnn(C)c4)c3)nn2CC2CC2)C1,5.37675071,ChEMBL
CHEMBL3920459,CC(=O)N1CCc2c(c(Nc3cccc(-c4cnoc4)c3)nn2CC2CC2)C1,5.065501549,ChEMBL
CHEMBL3943463,CC(=O)N1CCc2c(c(Nc3cccc(C(=O)N(C)C)c3)nn2CC2CC2)C1,4.886056648,ChEMBL
CHEMBL3889679,CC(=O)N1CCc2c(c(Nc3cccc(C(=O)NC(C)C)c3)nn2CC2CC2)C1,5.431798276,ChEMBL
CHEMBL3900573,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2C2CC2)C1,4.823908741,ChEMBL
CHEMBL3962757,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2CC2CC2)C1,4.886056648,ChEMBL
CHEMBL3909879,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2CCC2CC2)C1,5.008773924,ChEMBL
CHEMBL3897524,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2Cc2ccccc2)C1,5.337242168,ChEMBL
CHEMBL3936675,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2Cc2ccccn2)C1,5.13667714,ChEMBL
CHEMBL3986361,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2Cc2cccnc2)C1,5.251811973,ChEMBL
CHEMBL3916599,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2Cc2ccncc2)C1,5.229147988,ChEMBL
CHEMBL4077375,CC(=O)N1CCc2c(cc(-c3cccc(Cl)c3)c(=O)n2CC2CC2)C1,4.283996656,ChEMBL
CHEMBL3586720,CC(=O)N1CCc2cc(-c3cnc(NC4CCNCC4)c4[nH]c(=O)c(C)cc34)ccc21,6,ChEMBL
CHEMBL4208315,CC(=O)N1c2ccc(-c3ccc(C(=O)N4CCNCC4)cc3)cc2N(C(=O)C2CC2)C[C@@H]1C,6.420216403,ChEMBL
CHEMBL4215658,CC(=O)N1c2ccc(-c3ccc(N4CCS(=O)(=O)CC4)cc3)cc2N(C(=O)C2CC2)C[C@@H]1C,7,ChEMBL
CHEMBL3220922,CC(=O)N1c2ccc(-c3ccc(NC(=O)CCCCCCC(=O)NO)cc3)cc2[C@H](NC(=O)OC(C)C)C[C@@H]1C,7.301029996,ChEMBL
CHEMBL4216188,CC(=O)N1c2ccc(-c3ccc(S(C)(=O)=O)cc3)cc2N(C(=O)C2CC2)C[C@@H]1C,5.769551079,ChEMBL
CHEMBL4211224,CC(=O)N1c2ccc(-c3ccc(S(C)(=O)=O)cc3)cc2N(C(=O)OC(C)C)C[C@@H]1C,6.585026652,ChEMBL
CHEMBL4205343,CC(=O)N1c2ccc(-c3ccc(S(C)(=O)=O)cc3)cc2N(C(=O)c2ccco2)C[C@@H]1C,5.795880017,ChEMBL
CHEMBL4207530,CC(=O)N1c2ccc(-c3ccccc3)cc2N(C(=O)c2ccco2)C[C@@H]1C,5.795880017,ChEMBL
CHEMBL3220924,CC(=O)N1c2ccc(-c3ccccc3)cc2[C@H](NC(=O)CCCCCCC(=O)NO)C[C@@H]1C,6.443697499,ChEMBL
CHEMBL4213809,CC(=O)N1c2ccc(-c3cnc(C(N)=O)nc3)cc2N(Cc2ccccc2CO)C[C@@H]1C1CC1,5.700000504,ChEMBL
CHEMBL4206854,CC(=O)N1c2ccc(-c3cnn(C(C)C)c3)cc2N(C(=O)C2CC2)C[C@@H]1C,6.37675071,ChEMBL
CHEMBL4217059,CC(=O)N1c2ccc(-c3cnn(C)c3)cc2N(C(=O)c2ccco2)C[C@@H]1C,6.420216403,ChEMBL
CHEMBL4203456,CC(=O)N1c2ccc(-c3cnn(C4CNC4)c3)cc2N(C(=O)C2CC2)C[C@@H]1C,7.22184875,ChEMBL
CHEMBL4211739,CC(=O)N1c2ccc(-c3cnn(C4COC4)c3)cc2N(C(=O)C2CC2)C[C@@H]1C,6.431798276,ChEMBL
CHEMBL4218735,CC(=O)N1c2ccc(C3=CCNCC3)cc2N(Cc2ccccc2CO)C[C@@H]1C1CC1,5.499999679,ChEMBL
CHEMBL3220923,CC(=O)N1c2ccc(NC(=O)CCCCCCC(=O)NO)cc2[C@H](NC(=O)OC(C)C)C[C@@H]1C,6.537602002,ChEMBL
CHEMBL3220925,CC(=O)N1c2ccc(NC(=O)CCCCCCC(=O)NO)cc2[C@H](Nc2ccccc2)C[C@@H]1C,7,ChEMBL
CHEMBL1950955,CC(=O)N1c2ccccc2CCC1C,3.799999998,ChEMBL
CHEMBL4211756,CC(=O)N1c2ccccc2N(C(=O)C2CCCC2)C[C@@H]1C,4.366531544,ChEMBL
CHEMBL4208254,CC(=O)N1c2ccccc2N(C(=O)c2ccco2)C[C@@H]1C,4.853871964,ChEMBL
CHEMBL4206502,CC(=O)N1c2ccccc2N(Cc2ccc(Cl)cc2C(=O)O)CC1C1CC1,4.399999968,ChEMBL
CHEMBL4203288,CC(=O)N1c2ccccc2N(Cc2cccc(C)c2)CC1C,4.700000069,ChEMBL
CHEMBL4215719,CC(=O)N1c2ccccc2N(Cc2cccc(C)c2)CC1C1CC1,4.600000075,ChEMBL
CHEMBL4203188,CC(=O)N1c2ccccc2N(Cc2cccc(CO)c2)CC1C1CC1,4.600000075,ChEMBL
CHEMBL4216074,CC(=O)N1c2ccccc2N(Cc2cccc(O)c2)CC1C1CC1,4.800000053,ChEMBL
CHEMBL4214033,CC(=O)N1c2ccccc2N(Cc2ccccc2)CC1C,4.800000053,ChEMBL
CHEMBL4202847,CC(=O)N1c2ccccc2N(Cc2ccccc2)CC1C1CC1,4.700000069,ChEMBL
CHEMBL4210528,CC(=O)N1c2ccccc2N(Cc2ccccc2C#N)CC1C1CC1,4.600000075,ChEMBL
CHEMBL4206978,CC(=O)N1c2ccccc2N(Cc2ccccc2C(=O)O)CC1C,4.399999968,ChEMBL
CHEMBL4203699,CC(=O)N1c2ccccc2N(Cc2ccccc2CN)CC1C1CC1,4.700000069,ChEMBL
CHEMBL4208576,CC(=O)N1c2ccccc2N(Cc2ccccc2N(C)C)CC1C1CC1,4.700000069,ChEMBL
CHEMBL4206054,CC(=O)N1c2ccccc2N(Cc2ccccc2O)CC1C1CC1,4.700000069,ChEMBL
CHEMBL4210932,CC(=O)N1c2ccccc2N(Cc2ccccc2OCCO)CC1C1CC1,4.600000075,ChEMBL
CHEMBL2431094,CC(=O)NC[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-c2c(C)noc21,6.721246399,ChEMBL
CHEMBL4061677,CC(=O)Nc1ccc(CNc2cccc(Oc3ccc(S(C)(=O)=O)cc3-c3cn(C)c(=O)c4cncn34)c2)cc1,6.420216403,ChEMBL
CHEMBL3589478,CC(=O)Nc1cccc(/C=C(/C(=O)N2CC(=O)Nc3ccccc32)c2ccccc2)c1,4.397940009,ChEMBL
CHEMBL2335153,CC(=O)Oc1cc(-c2c(C)noc2C)cc(C(O)c2ccccc2)c1,6.430310257,ChEMBL
CHEMBL3770112,CC(=O)c1cc(-c2ccccc2CO)c2ccccn12,4.410050399,ChEMBL
CHEMBL4228900,CC(=O)c1cn(C)c(=O)c2ccc(-c3ccccc3)cc12,4.091514981,ChEMBL
CHEMBL4227710,CC(=O)c1cn(C)c(=O)c2ccc(-c3cnn(C)c3)cc12,4.619788758,ChEMBL
CHEMBL4226129,CC(=O)c1cn(C)c(=O)c2ccc(-c3ncco3)cc12,4.142667504,ChEMBL
CHEMBL4225778,CC(=O)c1cn(C)c(=O)c2ccc(-c3nccs3)cc12,3.91721463,ChEMBL
CHEMBL1443641,CC(=O)c1cn(C)c(=O)c2ccccc12,4.148741651,ChEMBL
CHEMBL4159164,CC(=O)n1cc(C(=O)Nc2cc(C(=O)O)cc(-c3ccco3)c2)c2ccccc21,5.659555885,ChEMBL
CHEMBL3827114,CC(C)Oc1cc2c(cc1NC(=O)c1ccccn1)n(C)c(=O)n2C,5,ChEMBL
CHEMBL3827276,CC(C)Oc1cc2c(cc1NC(=O)c1ccncn1)n(C)c(=O)n2C,4.600000075,ChEMBL
CHEMBL3827927,CC(C)Oc1ccc2c(c1)n(C)c(=O)n2C,4.399999968,ChEMBL
CHEMBL4177190,CC(Nc1ccc2c(c1)N(C1CC1)C(C)C(=O)N2C)c1ccc(Cl)cc1,6.677780705,ChEMBL
CHEMBL4169351,CC(Nc1ccc2c(c1)N(C1CC1)C(C)C(=O)N2C)c1ccc(F)cc1,6.568636236,ChEMBL
CHEMBL4163219,CC(Nc1ccc2c(c1)N(C1CC1)C(C)C(=O)N2C)c1ccccc1,6.468521083,ChEMBL
CHEMBL3815023,CC(c1ccccc1)n1cc(-c2cccc3c2N[C@H](C)CC(=O)N3)cn1,4.795880017,ChEMBL
CHEMBL3970919,CC/C=C(\CC)c1cc(-c2c(C)noc2C)cc2nc(C3CC3)[nH]c12,7.742321425,ChEMBL
CHEMBL4092461,CC1(C)CON(Cc2ccc(N3C(=O)c4cccnc4C3=O)cc2Cl)C1=O,4.895854449,ChEMBL
CHEMBL4280151,CC1(C)Oc2cc(NS(=O)(=O)C3CCCCC3)ccc2NC1=O,5.412289035,ChEMBL
CHEMBL4282172,CC1(C)Oc2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2NC1=O,5.319664487,ChEMBL
CHEMBL4278704,CC1(C)Oc2cc(NS(=O)(=O)c3ccc(F)cc3Cl)ccc2NC1=O,5.841637508,ChEMBL
CHEMBL4292779,CC1(C)Oc2cc(NS(=O)(=O)c3ccc(F)cc3F)ccc2NC1=O,5.563837353,ChEMBL
CHEMBL4277199,CC1(C)Oc2cc(NS(=O)(=O)c3ccc(F)cc3F)cnc2NC1=O,4.396855627,ChEMBL
CHEMBL4293853,CC1(C)Oc2cc(NS(=O)(=O)c3ccccc3)ccc2NC1=O,5.476253533,ChEMBL
CHEMBL4288055,CC1(C)Oc2cc(NS(=O)(=O)c3cccs3)ccc2NC1=O,5.184422252,ChEMBL
CHEMBL4278261,CC1(C)Oc2cc(NS(=O)(=O)c3cccs3)cnc2NC1=O,4.59465364,ChEMBL
CHEMBL4077359,CC1=C(C)C2C(c3ccc(Cl)cc3)=N[C@@H](CC(=O)NCCOCCOCCOCCOCCOCCOCCOCCNC(=O)C[C@@H]3N=C(c4ccc(Cl)cc4)c4c(sc(C)c4C)-n4c(C)nnc43)c3nnc(C)n3C2S1,8.508638306,ChEMBL
CHEMBL4203461,CC1C(=O)N(C)c2ccc(C(=O)N(C)C3CCCC3)cc2N1C1CC1,6.901356274,ChEMBL
CHEMBL4204922,CC1C(=O)N(C)c2ccc(C(=O)N(C)C3CCCCC3)cc2N1C1CC1,7.562249437,ChEMBL
CHEMBL4212712,CC1C(=O)N(C)c2ccc(C(=O)N(C)c3ccccc3)cc2N1C1CC1,7.987162775,ChEMBL
