,SMILES,name
72,O=S(=O)(C1COC1)N1CCC(N2CCCC2)CC1,97105285
73,COCCN1CC(=O)N([C@@H]2CSC[C@H]2C)C1=O,408517060
74,CCN1CC[C@H](N2C(=O)N3CCC[C@@]3(C)C2=O)C1=O,408517093
75,CN(CC(F)(F)F)C(=O)N1CCC[C@@H]([C@H](O)C(=O)O)C1,568258146
76,Cn1ccnc1CCN1CCN(CC2CC2)[C@@H](CCO)C1,1506398505
77,O=C([C@H]1CSCCS1)N1CC(N[C@@H]2CCOC2)C1,1363637486
78,COC[C@@H](OC)C(=O)N1C[C@@H]2CCC[C@]2(C(=O)O)C1,701577571
79,O=C(O)[C@H]1CN(CCO)C[C@@H]1c1ccc(F)cc1,213165859
80,Cc1cc(C[C@@H]2CN(c3nc(CO)cs3)C[C@@H]2O)n[nH]1,1704306046
81,CCn1nccc1C(=O)N[C@H]1CNCCC1(F)F,1615540963
82,C[C@H](C(=O)NCC(F)(F)F)N1CCO[C@@H](CN(C)C)C1,106787440
83,CCN(CC)C[C@H](C)N1C[C@H]2[C@H](C1)C2(CO)CO,1772804925
84,CN1C(=O)C(Cc2cccc(O)c2)C(=O)N(C)C1=O,5046219
85,O=C(O)[C@H]1CC=CC[C@@H]1C(=O)NCCCN1CCCC1=O,12343432
86,CCOC(=O)CSc1nc(NC(=O)CC)n[nH]1,13142327
87,CCN1CCC[C@@H]1CNC(=O)C(=O)Nc1cccnc1,13719956
88,COc1cccc(/C=c2\sc3ncnn3c2=O)c1OC,16264874
89,CCCNS(=O)(=O)c1csc(C(=O)NC)c1,16648845
90,Cn1nc(C(N)=O)nc1-c1ccc([C@@H]2CNC(=O)C2)cc1,1875244667
91,c1cncc(CCN=c2[nH]ccc(=N[C@@H]3CCCOC3)[nH]2)c1,328622060
92,C[C@H](CNc1ncc(C(=O)O)cc1Cl)S(N)(=O)=O,398273023
93,O=C(N[C@H]1C[C@@H](O)[C@@H]1n1cccn1)c1cncnc1C1CC1,616766866
94,O=C([C@H]1C[C@H](O)CN1)N1CCCN(C2CCCC2)CC1,238095726
95,Cc1cnc2cc(C(=O)N3CCO[C@@H](CN)C3)ccn12,662766794
